city_norm,n_records,stage,score,matched_locality_norm,matched_code
יהוד-מונוסון,233,crosswalk,,יהוד מונוסון,9400.0
כנרת קבוצה,178,crosswalk,,כנרת,57
עופרה,111,crosswalk,,עפרה,3617.0
עין חרוד מאוחד,109,crosswalk,,עין חרוד,82
נוה,80,crosswalk,,נווה,1366.0
פקיעין בוקייעה,74,crosswalk,,פקיעין,536.0
בן שמן כפר נוער,73,crosswalk,,בן שמן,1084
ג ש גוש חלב,69,crosswalk,,ג ש,487.0
אבו קרינאת יישוב,59,crosswalk,,אבו קורינאת,1342.0
קריית יערים מוסד,28,crosswalk,,קריית יערים,2039
תראבין א-צאנע ישוב,19,crosswalk,,תרבין א-צאנע *,1346.0
גבעת חיים איחוד,2,crosswalk,,גבעת חיים,2018
ירושלים,5580,exact,,ירושלים,3000.0
חיפה,2113,exact,,חיפה,4000.0
פתח תקווה,1761,exact,,פתח תקווה,7900.0
ראשון לציון,1532,exact,,ראשון לציון,8300.0
אשדוד,1466,exact,,אשדוד,70.0
באר שבע,1460,exact,,באר שבע,9000.0
נתניה,1413,exact,,נתניה,7400.0
נצרת,1260,exact,,נצרת,7300.0
חולון,1110,exact,,חולון,6600.0
אשקלון,968,exact,,אשקלון,7100.0
רחובות,949,exact,,רחובות,8400.0
כפר סבא,917,exact,,כפר סבא,6900.0
בית שמש,915,exact,,בית שמש,2610.0
רמת גן,894,exact,,רמת גן,8600.0
בת ים,878,exact,,בת ים,6200.0
רעננה,815,exact,,רעננה,8700.0
לוד,670,exact,,לוד,7000.0
רמלה,623,exact,,רמלה,8500.0
חדרה,615,exact,,חדרה,6500.0
בני ברק,614,exact,,בני ברק,6100.0
הרצלייה,601,exact,,הרצלייה,6400.0
קריית גת,564,exact,,קריית גת,2630.0
טבריה,557,exact,,טבריה,6700.0
אום אל-פחם,535,exact,,אום אל-פחם,2710.0
עכו,528,exact,,עכו,7600.0
מעלה אדומים,523,exact,,מעלה אדומים,3616.0
רהט,497,exact,,רהט,1161.0
שפרעם,492,exact,,שפרעם,8800.0
אילת,438,exact,,אילת,2600.0
דימונה,434,exact,,דימונה,2200.0
טמרה,417,exact,,טמרה,8900.0
רמת השרון,401,exact,,רמת השרון,2650.0
גבעתיים,401,exact,,גבעתיים,6300.0
צפת,398,exact,,צפת,8000.0
עפולה,389,exact,,עפולה,7700.0
נהרייה,381,exact,,נהרייה,9100.0
נתיבות,374,exact,,נתיבות,246.0
חורה,374,exact,,חורה,1303.0
כרמיאל,362,exact,,כרמיאל,1139.0
הוד השרון,359,exact,,הוד השרון,9700.0
יבנה,318,exact,,יבנה,2660.0
באקה אל-גרביה,314,exact,,באקה אל-גרביה,6000.0
גדרה,311,exact,,גדרה,2550.0
קריית אתא,308,exact,,קריית אתא,6800.0
קריית מוצקין,305,exact,,קריית מוצקין,8200.0
מגדל העמק,304,exact,,מגדל העמק,874.0
מעלות-תרשיחא,300,exact,,מעלות-תרשיחא,1063.0
נצרת עילית,293,exact,,נצרת עילית,1061.0
סח נין,280,exact,,סח נין,7500.0
קריית מלאכי,276,exact,,קריית מלאכי,1034.0
אור יהודה,270,exact,,אור יהודה,2400.0
ראמה,269,exact,,ראמה,543.0
ראש העין,263,exact,,ראש העין,2640.0
כסיפה,259,exact,,כסיפה,1059.0
טייבה,255,exact,,טייבה,2730.0
עראבה,254,exact,,עראבה,531.0
אופקים,247,exact,,אופקים,31.0
קריית שמונה,245,exact,,קריית שמונה,2800.0
נס ציונה,241,exact,,נס ציונה,7200.0
טירה,239,exact,,טירה,2720.0
כפר כנא,239,exact,,כפר כנא,509.0
נחף,236,exact,,נחף,522.0
כפר קאסם,230,exact,,כפר קאסם,634.0
אפרת,228,exact,,אפרת,3650.0
בית שאן,228,exact,,בית שאן,9200.0
בית אל,224,exact,,בית אל,3574.0
אור עקיבא,218,exact,,אור עקיבא,1020.0
אלעד,216,exact,,אלעד,1309.0
קריית ים,215,exact,,קריית ים,9600.0
כפר קרע,214,exact,,כפר קרע,654.0
זכרון יעקב,213,exact,,זכרון יעקב,9300.0
עין שמר,209,exact,,עין שמר,139.0
באר יעקב,205,exact,,באר יעקב,2530.0
קלנסווה,202,exact,,קלנסווה,638.0
