semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total
120238,2013,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,0.0,0.0,6.0,8.0
120238,2014,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,,0.0,,7.0
120238,2015,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,0.0,0.0,8.0,9.0
120238,2016,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,0.0,0.0,6.0,8.0
140012,2013,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,90.43974576271187,92.05771186440677,0.2711864406779661,0.8559322033898306,118.0,118.0
140012,2014,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,89.10855072463768,91.62597122302157,0.2318840579710145,0.8129496402877698,138.0,139.0
140012,2015,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,91.96201923076923,91.73,0.2403846153846154,0.9230769230769231,104.0,104.0
140012,2016,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,91.99162601626016,91.78504065040651,0.2845528455284553,0.8699186991869918,123.0,123.0
140038,2013,עירוני דתי רוטשילד,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,78.46230769230769,90.16,0.0,0.7037037037037037,26.0,27.0
140038,2014,עירוני דתי רוטשילד,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,83.58,92.24,0.0,0.7777777777777778,25.0,27.0
140038,2015,עירוני דתי רוטשילד,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,77.26,93.67,0.0,0.4444444444444444,25.0,27.0
140038,2016,עירוני דתי רוטשילד,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,85.1295652173913,92.6,0.0,1.0,23.0,20.0
