semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total,combined_avg_grade,total_takers,log_population,log_total_takers,iso_outlier,lof_outlier,lof_score,iso_score,outlier_consensus,outlier_any,grand_total,teaching_cost,students,total_budget_per_student,teaching_budget_per_student
120238,2013,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,0.0,0.0,6.0,8.0,,14.0,5.583496308781699,2.70805020110221,False,False,,,False,False,5908236.174690459,1501008.9323,67.0,88182.62947299192,22403.11839253731
120238,2014,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,,0.0,,7.0,,7.0,5.583496308781699,2.079441541679836,False,False,,,False,False,5908236.174690459,1501008.9323,67.0,88182.62947299192,22403.11839253731
120238,2015,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,0.0,0.0,8.0,9.0,,17.0,5.583496308781699,2.8903717578961645,False,False,,,False,False,5908236.174690459,1501008.9323,67.0,88182.62947299192,22403.11839253731
120238,2016,קרית יערים,קרית יערים)מוסד(,קריית יערים מוסד,crosswalk,2.0,-1.543,265.0,340.0,קריית יערים (מוסד),,,0.0,0.0,6.0,8.0,,14.0,5.583496308781699,2.70805020110221,False,False,,,False,False,5908236.174690459,1501008.9323,67.0,88182.62947299192,22403.11839253731
140012,2013,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,90.43974576271188,92.05771186440676,0.2711864406779661,0.8559322033898306,118.0,118.0,91.24872881355932,236.0,13.669091908796466,5.468060141135132,True,False,-1.0282384593637242,-0.5715263787746753,False,True,12892499.431543477,0.0,700.0,18417.856330776394,0.0
140012,2014,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,89.10855072463768,91.62597122302157,0.2318840579710145,0.8129496402877698,138.0,139.0,90.36726097382962,277.0,13.669091908796466,5.627621113690637,False,False,-1.0515631890140225,-0.5562812121236753,False,False,12892499.431543477,0.0,700.0,18417.856330776394,0.0
140012,2015,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,91.96201923076924,91.73,0.2403846153846154,0.9230769230769232,104.0,104.0,91.84600961538462,208.0,13.669091908796466,5.342334251964811,True,False,-1.0209355788665684,-0.5759719043403236,False,True,12892499.431543477,0.0,700.0,18417.856330776394,0.0
140012,2016,אולפנא תורנית חורב,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,91.99162601626016,91.78504065040651,0.2845528455284553,0.8699186991869918,123.0,123.0,91.88833333333334,246.0,13.669091908796466,5.5093883366279774,True,False,-1.034679550725931,-0.5817136518038682,False,True,12892499.431543477,0.0,700.0,18417.856330776394,0.0
140038,2013,עירוני דתי רוטשילד,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,78.46230769230769,90.16,0.0,0.7037037037037037,26.0,27.0,84.31115384615384,53.0,13.669091908796466,3.9889840465642745,False,False,-1.0594847324786971,-0.4964790463698247,False,False,8173540.877866218,3081682.8034999995,245.0,33361.39133822946,12578.297157142855
140038,2014,עירוני דתי רוטשילד,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,83.58,92.24,0.0,0.7777777777777778,25.0,27.0,87.91,52.0,13.669091908796466,3.970291913552122,False,False,-1.0849006626394857,-0.5200910451105438,False,False,8173540.877866218,3081682.8034999995,245.0,33361.39133822946,12578.297157142855
